Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C3, C5",C0402,4,100nf,C106204
C2,0805,1,22uf,
C30,C0402,1,33pF,C106204
C4,0603,1,10uf,
C6,C1210,1,100uf,C49066
C7,0402,1,10nf,
C8_2,C1206,1,47uF,C92821
C8,1210,1,C_Polarized,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",LED-SMD_4P-L2.0-W2.0-BR-1,14,WS2812B-2020,C5349955
"D15, D17, D18, D19",0402,4,Red_LED,
D16,LED-SMD_L1.0-W0.5_FC-F1005UGK,1,Green_LED,C130723
J3,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB4135-GF-A,
L1,25x35mm-NFC,1,NFC Antenna,
L3,IND-SMD_L4.0-W4.0_XAL4040,1,10uH,C5144883
R1,R0402,1,330R,C156119
"R10, R13, R14, R2, R4",R0402,5,10K,C156119
"R11, R12, R15",R0402,3,6.8k,C156119
R3,R0402,1,33K,C156119
R5,R0402,1,3.3K,C156119
"R6, R7",R0402,2,5.1K,C156119
"R8, R9",R0402,2,2.2K,C156119
SS32,SMA_L4.3-W2.6-LS5.2-RD,1,SS32,C34897
"SW1, SW2, SW3",SW-SMD_4P_PTS810SJM250SMTRLFS,3,PTS810SJM250SMTRLFS,C221895
SW4,SW-SMD_MK-12C02-G020,1,SW_SPDT,C963206
U2,SOT-23-5,1,74AHCT1G125,
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP5400_C2891434,C2891434
U6,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,ST25DV04K-JFR6D3,
