Designator,Mid X,Mid Y,Rotation,Layer
C1,119.48,-92.5,180.0,bottom
C2,114.0,-93.95,90.0,bottom
C29,189.49,-127.0,0.0,bottom
C3,112.0,-90.58,90.0,bottom
C30,196.5,-129.52,90.0,bottom
C4,111.0,-90.675,90.0,bottom
C5,115.0,-82.0,270.0,bottom
C6,126.5,-91.0,270.0,bottom
C7,196.5,-127.52,270.0,bottom
C8_2,104.91,-94.5,0.0,bottom
C8,118.0,-85.025,270.0,bottom
D1,101.0,-91.5,180.0,top
D10,135.585,-118.95,0.0,top
D11,116.085,-118.95,0.0,top
D12,101.0,-119.0,0.0,top
D13,100.5,-110.45,0.0,top
D14,100.5,-99.95,0.0,top
D15,148.0,-85.0,180.0,bottom
D16,151.495,-85.0,180.0,bottom
D17,184.0,-79.0,0.0,top
D18,192.5,-79.0,0.0,top
D19,200.5,-79.0,0.0,top
D2,117.0,-91.5,180.0,top
D3,134.915,-91.45,180.0,top
D4,153.585,-91.55,180.0,top
D5,172.0,-91.5,180.0,top
D6,172.585,-100.5,180.0,top
D7,172.415,-110.45,180.0,top
D8,172.085,-118.95,0.0,top
D9,153.585,-118.95,0.0,top
J3,106.5,-76.0,180.0,bottom
L1,196.5875,-100.5875,0.0,top
L3,124.0,-80.0,270.0,bottom
R1,116.0,-94.5,90.0,bottom
R10,189.51,-130.0,180.0,bottom
R11,184.45,-79.5,0.0,bottom
R12,192.93,-79.5,0.0,bottom
R13,189.5,-129.0,180.0,bottom
R14,189.51,-128.0,180.0,bottom
R15,200.45,-79.5,0.0,bottom
R2,124.01,-129.0,0.0,bottom
R3,137.99,-129.0,0.0,bottom
R4,97.07,-96.0,0.0,bottom
R5,115.5,-86.07,90.0,bottom
R6,105.43,-81.5,0.0,bottom
R7,107.43,-81.5,0.0,bottom
R8,151.5,-87.0,0.0,bottom
R9,147.98,-87.0,0.0,bottom
SS32,118.0,-78.0,90.0,bottom
SW1,117.425,-128.0,0.0,top
SW2,131.0,-128.0,0.0,top
SW3,144.5,-128.0,0.0,top
SW4,154.7,-76.2725,180.0,bottom
U2,119.3625,-94.45,180.0,bottom
U3,105.41,-88.09,270.0,bottom
U6,193.5,-128.5,0.0,bottom
