Designator,Footprint,Quantity,Value,LCSC Part #
47UF_10V1,1210,1,C_Polarized,
"C1, C3, C5",0402,3,100nf,
C2,0805,1,22uf,
C29,0402,1,0.1uF,
C30,0402,1,33pF,
C4,0603,1,10uf,
C6,1210,1,470uf,
C7,0402,1,10nf,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,14,WS2812B-2020,
"D15, D17, D18, D19",0402,4,Red_LED,
D16,0402,1,Green_LED,
J1,PinHeader_1x08_P2.54mm_Vertical,1,"E-INK_2.9""",
J2,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Batt,
J3,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
L1,25x35mm-NFC,1,NFC Antenna,
L3,L_Coilcraft_XAL4040-XXX,1,L,
R1,0402,1,330ohm,
"R10, R13, R14, R2, R4",0402,5,10K,
"R11, R12, R15",0402,3,6.8k,
R3,0402,1,33K,
R5,0402,1,3.3k,
"R6, R7",0402,2,5.1k,
"R8, R9",0402,2,2.2k,
SS32,D_SMA,1,D_Schottky,
"SW1, SW2, SW3",SW_SPST_PTS810,3,SW_Push_45deg,
SW4,SW-SMD_MK-12C02-G020,1,SW_SPDT,C963206
U1,XIAO-ESP32-C3-SMD,1,XIAO-ESP32-C3-SMD,
U2,SOT-23-5,1,74AHCT1G125,
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP5400_C2891434,C2891434
U6,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,ST25DV04K-JFR6D3,
