Designator,Mid X,Mid Y,Rotation,Layer
47UF_10V1,118.0,-85.025,270.0,bottom
C1,119.48,-91.5,0.0,bottom
C2,114.0,-93.95,90.0,bottom
C29,189.99,-125.0,0.0,bottom
C3,113.5,-90.5,90.0,bottom
C30,197.0,-127.52,90.0,bottom
C4,111.0,-90.675,90.0,bottom
C5,114.0,-82.52,270.0,bottom
C6,126.5,-91.0,270.0,bottom
C7,197.0,-125.52,270.0,bottom
D1,101.0,-91.5,0.0,top
D10,135.585,-118.95,0.0,top
D11,116.085,-118.95,0.0,top
D12,101.0,-119.0,0.0,top
D13,100.5,-110.45,0.0,top
D14,100.5,-99.95,0.0,top
D15,148.0,-85.0,180.0,bottom
D16,158.485,-85.0,180.0,bottom
D17,184.485,-80.0,0.0,top
D18,192.985,-80.0,0.0,top
D19,200.985,-80.0,0.0,top
D2,117.0,-91.5,0.0,top
D3,134.915,-91.45,0.0,top
D4,153.585,-91.55,0.0,top
D5,172.0,-91.5,0.0,top
D6,172.585,-100.5,0.0,top
D7,172.415,-110.45,0.0,top
D8,172.085,-118.95,0.0,top
D9,153.585,-118.95,0.0,top
J1,134.39,-105.0,90.0,top
J2,153.655,-92.73,180.0,bottom
J3,106.5,-76.0,180.0,bottom
L1,194.555618,-102.6735,0.0,top
L3,124.0,-80.0,270.0,bottom
R1,130.5,-91.0,90.0,bottom
R10,190.01,-128.0,180.0,bottom
R11,184.51,-81.5,0.0,bottom
R12,192.99,-81.5,0.0,bottom
R13,190.0,-127.0,180.0,bottom
R14,190.01,-126.0,180.0,bottom
R15,200.51,-81.5,0.0,bottom
R2,124.01,-129.0,0.0,bottom
R3,137.99,-129.0,0.0,bottom
R4,96.49,-94.0,0.0,bottom
R5,114.0,-86.0,90.0,bottom
R6,105.5,-82.0,0.0,bottom
R7,107.5,-82.0,0.0,bottom
R8,158.49,-87.0,0.0,bottom
R9,147.98,-87.0,0.0,bottom
SS32,118.0,-78.0,90.0,bottom
SW1,117.425,-128.0,0.0,top
SW2,131.0,-128.0,0.0,top
SW3,144.5,-128.0,0.0,top
SW4,154.7,-76.2725,180.0,bottom
U1,100.161,-106.7975,270.0,bottom
U2,119.3625,-94.45,180.0,bottom
U3,105.41,-88.09,270.0,bottom
U6,194.0,-126.5,0.0,bottom
